universo,ano,valor_fundo_clima_real_jun2026,valor_verde_estrito_real_jun2026,participacao_no_verde_estrito_pct,indice_2013_100
Desembolsos,2013,134467462.73435628,1801414037.0472813,7.464550623507046,100.0
Desembolsos,2014,10559493.742259368,3098277464.511342,0.3408182082854482,7.852824413828572
Desembolsos,2015,130773674.24412219,1474056049.3417923,8.871689397598981,97.25302432638946
Desembolsos,2016,59557582.82815368,1528268581.203341,3.897062568757301,44.291445392861405
Desembolsos,2017,567141.3391556961,1314176530.0812147,0.043155643566442886,0.4217684543331479
Desembolsos,2018,120286373.21946931,1504260059.9234207,7.996381505043276,89.45388778332044
Desembolsos,2019,319751527.9296397,1934995750.4494057,16.52466305703136,237.79100269134742
Desembolsos,2020,184257039.54415977,1626058999.0807583,11.331510089629205,137.02723008030873
Desembolsos,2021,110716952.60384241,1169802715.7039816,9.464583311145203,82.33735533670806
Desembolsos,2022,203876750.83389342,2116312924.8389812,9.633582465098128,151.6179056911759
Desembolsos,2023,934541768.7802813,3732473844.4746027,25.038133091374178,694.9947219770861
Desembolsos,2024,1280281982.6878977,4617645830.730097,27.725859228261168,952.1128432512522
Desembolsos,2025,7101368427.874156,11840339719.32833,59.976053020520915,5281.105394174858
Contratações,2013,135233846.60563412,6050026183.102441,2.235260518100543,100.0
Contratações,2014,67329097.97306243,3803384290.15975,1.7702417856449226,49.78716472467578
Contratações,2015,173867832.9854084,2654933730.3800306,6.5488577359149645,128.56828179445182
Contratações,2016,49864364.139994174,587924218.2414693,8.481427128336826,36.87269525461884
Contratações,2017,0.0,345820988.4958598,0.0,0.0
Contratações,2018,385961074.9920358,3653292992.013141,10.564744624529897,285.402718830861
Contratações,2019,138148727.82487231,799423147.257153,17.281051755739764,102.15543763074233
Contratações,2020,57583567.2307332,739705147.2284378,7.784664936629146,42.580736018444476
Contratações,2021,264393498.33384532,2937842732.4700737,8.99957970560082,195.50837676374292
Contratações,2022,697268424.0104679,15797702613.167704,4.413733066663001,515.602004610448
Contratações,2023,1028582998.9149613,4194900458.8229957,24.519842818953585,760.5958306536172
Contratações,2024,7707918849.530552,12882599598.530107,59.8320144205213,5699.696520508072
Contratações,2025,9293359565.952158,15509782872.540298,59.919340214657865,6872.066275725516
