universo,ano,setor_bndes,valor_real,valor_fundo_clima_real_jun2026,participacao_pct
Desembolsos,2013,Agropecuária,0.0,134467462.73435628,0.0
Desembolsos,2013,Comércio e Serviços,0.0,134467462.73435628,0.0
Desembolsos,2013,Indústria,0.0,134467462.73435628,0.0
Desembolsos,2013,Infraestrutura,134467462.73435628,134467462.73435628,100.0
Desembolsos,2014,Agropecuária,0.0,10559493.742259368,0.0
Desembolsos,2014,Comércio e Serviços,0.0,10559493.742259368,0.0
Desembolsos,2014,Indústria,10559493.742259368,10559493.742259368,100.0
Desembolsos,2014,Infraestrutura,0.0,10559493.742259368,0.0
Desembolsos,2015,Agropecuária,0.0,130773674.24412219,0.0
Desembolsos,2015,Comércio e Serviços,0.0,130773674.24412219,0.0
Desembolsos,2015,Indústria,25380443.720846817,130773674.24412219,19.407915138537586
Desembolsos,2015,Infraestrutura,105393230.52327536,130773674.24412219,80.59208486146241
Desembolsos,2016,Agropecuária,6560162.487775333,59557582.82815368,11.014823262226578
Desembolsos,2016,Comércio e Serviços,0.0,59557582.82815368,0.0
Desembolsos,2016,Indústria,17156585.145649217,59557582.82815368,28.806718357177964
Desembolsos,2016,Infraestrutura,35840835.19472913,59557582.82815368,60.17845838059546
Desembolsos,2017,Agropecuária,567141.3391556961,567141.3391556961,100.0
Desembolsos,2017,Comércio e Serviços,0.0,567141.3391556961,0.0
Desembolsos,2017,Indústria,0.0,567141.3391556961,0.0
Desembolsos,2017,Infraestrutura,0.0,567141.3391556961,0.0
Desembolsos,2018,Agropecuária,2210489.8823864474,120286373.21946931,1.8376893601682407
Desembolsos,2018,Comércio e Serviços,3109487.477570876,120286373.21946931,2.585070440104998
Desembolsos,2018,Indústria,13383063.330042042,120286373.21946931,11.126001201835127
Desembolsos,2018,Infraestrutura,101583332.52946995,120286373.21946931,84.45123899789164
Desembolsos,2019,Agropecuária,18022016.907453842,319751527.9296397,5.636256697237591
Desembolsos,2019,Comércio e Serviços,54691403.73070134,319751527.9296397,17.104344765706955
Desembolsos,2019,Indústria,118844312.9494176,319751527.9296397,37.16770760062448
Desembolsos,2019,Infraestrutura,128193794.3420669,319751527.9296397,40.091690936430965
Desembolsos,2020,Agropecuária,16176294.731786797,184257039.54415977,8.779200388655935
Desembolsos,2020,Comércio e Serviços,27952669.662885144,184257039.54415977,15.170475837470457
Desembolsos,2020,Indústria,47105015.64098502,184257039.54415977,25.564839073459467
Desembolsos,2020,Infraestrutura,93023059.5085028,184257039.54415977,50.485484700414126
Desembolsos,2021,Agropecuária,26123943.823866863,110716952.60384241,23.59525186476297
Desembolsos,2021,Comércio e Serviços,3332122.2859897097,110716952.60384241,3.009586343938145
Desembolsos,2021,Indústria,18506738.526236534,110716952.60384241,16.715361189948666
Desembolsos,2021,Infraestrutura,62754147.967749305,110716952.60384241,56.679800601350216
Desembolsos,2022,Agropecuária,98768926.65208396,203876750.83389342,48.445409419220624
Desembolsos,2022,Comércio e Serviços,3962703.0422402867,203876750.83389342,1.9436757874706667
Desembolsos,2022,Indústria,12846725.715819238,203876750.83389342,6.301221528827473
Desembolsos,2022,Infraestrutura,88298395.42374992,203876750.83389342,43.30969326448123
Desembolsos,2023,Agropecuária,72001457.12690637,934541768.7802813,7.704466459629641
Desembolsos,2023,Comércio e Serviços,251392179.21546373,934541768.7802813,26.900047447164255
Desembolsos,2023,Indústria,200910372.81442642,934541768.7802813,21.498276430880654
Desembolsos,2023,Infraestrutura,410237759.62348473,934541768.7802813,43.897209662325444
Desembolsos,2024,Agropecuária,71564741.10158807,1280281982.6878977,5.589763979286886
Desembolsos,2024,Comércio e Serviços,63779618.06349308,1280281982.6878977,4.9816852010672275
Desembolsos,2024,Indústria,421966336.59715855,1280281982.6878977,32.95885924374708
Desembolsos,2024,Infraestrutura,722971286.925658,1280281982.6878977,56.46969157589881
Desembolsos,2025,Agropecuária,157826371.8980097,7101368427.874156,2.222478294162469
Desembolsos,2025,Comércio e Serviços,162778779.5216805,7101368427.874156,2.2922170730185516
Desembolsos,2025,Indústria,2805592479.4431133,7101368427.874156,39.50777245172431
Desembolsos,2025,Infraestrutura,3975170797.011352,7101368427.874156,55.977532181094666
Contratações,2013,Agropecuária,0.0,135233846.60563412,0.0
Contratações,2013,Comércio e Serviços,0.0,135233846.60563412,0.0
Contratações,2013,Indústria,0.0,135233846.60563412,0.0
Contratações,2013,Infraestrutura,135233846.60563412,135233846.60563412,100.0
Contratações,2014,Agropecuária,0.0,67329097.97306243,0.0
Contratações,2014,Comércio e Serviços,0.0,67329097.97306243,0.0
Contratações,2014,Indústria,67329097.97306243,67329097.97306243,100.0
Contratações,2014,Infraestrutura,0.0,67329097.97306243,0.0
Contratações,2015,Agropecuária,6140239.197465425,173867832.9854084,3.531555602916346
Contratações,2015,Comércio e Serviços,0.0,173867832.9854084,0.0
Contratações,2015,Indústria,0.0,173867832.9854084,0.0
Contratações,2015,Infraestrutura,167727593.78794298,173867832.9854084,96.46844439708366
Contratações,2016,Agropecuária,49864364.139994174,49864364.139994174,100.0
Contratações,2016,Comércio e Serviços,0.0,49864364.139994174,0.0
Contratações,2016,Indústria,0.0,49864364.139994174,0.0
Contratações,2016,Infraestrutura,0.0,49864364.139994174,0.0
Contratações,2017,Agropecuária,0.0,0.0,
