universo,regiao,uf,agropecuaria,comercio_e_servicos,industria,infraestrutura
Desembolsos,Norte,AC,0,0,0,1
Desembolsos,Norte,AP,,,,
Desembolsos,Norte,AM,0,0,0,1
Desembolsos,Norte,PA,0.23649879643462238,0.018660601606769425,0,0.7448406019586082
Desembolsos,Norte,RO,0.5417087958809838,0,0,0.45829120411901625
Desembolsos,Norte,RR,,,,
Desembolsos,Norte,TO,,,,
Desembolsos,Nordeste,AL,0,0,0.9163856431987069,0.08361435680129319
Desembolsos,Nordeste,BA,0.32599516313227966,0.00409199038428627,0,0.6699128464834342
Desembolsos,Nordeste,CE,0.009228317682524585,0,0.009690075162793993,0.9810816071546814
Desembolsos,Nordeste,MA,0.7092740667430195,0,0.0055828820503358205,0.2851430512066447
Desembolsos,Nordeste,PB,0,0,0,1
Desembolsos,Nordeste,PE,0,0,0,1
Desembolsos,Nordeste,PI,0.02240903555573857,0,0,0.9775909644442614
Desembolsos,Nordeste,RN,0,0,0,1
Desembolsos,Nordeste,SE,0,0,0,1
Desembolsos,Centro-Oeste,DF,0,0.9145723119614184,0,0.08542768803858157
Desembolsos,Centro-Oeste,GO,0,0,0.04580308492057848,0.9541969150794215
Desembolsos,Centro-Oeste,MT,0.023660973489757337,0.00017521186085182232,0.8163166519281213,0.15984716272126956
Desembolsos,Centro-Oeste,MS,0.021747093485939308,0.07548165695834647,0.24446825160812924,0.658302997947585
Desembolsos,Sudeste,ES,0.17364311365348672,0.028075172711642005,0.025007942961621316,0.77327377067325
Desembolsos,Sudeste,MG,0.02788959569289568,0.08375669844958868,0.2025310765363486,0.6858226293211671
Desembolsos,Sudeste,RJ,0,0.20659902081396908,0.017528848606139107,0.7758721305798918
Desembolsos,Sudeste,SP,0.007264715359831657,0.06425256735135326,0.5094838687293084,0.41899884855950664
Desembolsos,Sul,PR,0.1326715209300399,0.018431742569264123,0.49841880039563363,0.3504779361050624
Desembolsos,Sul,RS,0.17221883471059027,0.12732029740559242,0.3930790031975028,0.30738186468631457
Desembolsos,Sul,SC,0.11120420697352382,0.11746902995930214,0.531515826623682,0.23981093644349205
Contratações,Norte,AC,,,,
Contratações,Norte,AP,,,,
Contratações,Norte,AM,0,0,0,1
Contratações,Norte,PA,0.25969408782749925,0.016566241676612994,0,0.7237396704958878
Contratações,Norte,RO,0.07571914053692774,0,0.8527010725361649,0.07157978692690731
Contratações,Norte,RR,,,,
Contratações,Norte,TO,,,,
Contratações,Nordeste,AL,0,0,1,0
Contratações,Nordeste,BA,0.1401682305060189,0.0006291969743971745,0,0.8592025725195839
Contratações,Nordeste,CE,0,0,0.0009518148517950554,0.999048185148205
Contratações,Nordeste,MA,0,0,1,0
Contratações,Nordeste,PB,,,,
Contratações,Nordeste,PE,0,0,0.6567957719731435,0.3432042280268564
Contratações,Nordeste,PI,0,0,1,0
Contratações,Nordeste,RN,0,0,0,1
Contratações,Nordeste,SE,,,,
Contratações,Centro-Oeste,DF,0,1,0,0
Contratações,Centro-Oeste,GO,0,0.007655112947371923,0.8797482048489947,0.11259668220363331
Contratações,Centro-Oeste,MT,0.002203287486020798,0.00010253227584512176,0.919966440243094,0.07772773999504005
Contratações,Centro-Oeste,MS,0,0.07907898303173688,0.7526746077050231,0.16824640926324008
Contratações,Sudeste,ES,0,0.030267909476941746,0.027291638498114217,0.942440452024944
Contratações,Sudeste,MG,0.011919060689269142,0.07538970065252082,0.4143607541236005,0.4983304845346095
Contratações,Sudeste,RJ,0,0.135487365141781,0.050249057645582254,0.8142635772126366
Contratações,Sudeste,SP,0.012284982279149889,0.049613933932562346,0.6012249082894942,0.3368761754987937
Contratações,Sul,PR,0.07589042585823345,0.012423669558822058,0.4992141535901825,0.41247175099276207
Contratações,Sul,RS,0.007587607985961026,0.25764007718434834,0.5375645206083665,0.19720779422132426
Contratações,Sul,SC,0,0.05746130009085844,0.8607647324179167,0.08177396749122491
