Ano,Ordem,Modalidade completa,Valor aprovado (R$ mi),Total direto (R$ mi),Participação,Automático excluído (R$ mi),Referência,Tabela,Página
2024,1,Desenvolvimento Urbano Resiliente e Sustentável,573.3,9549.2,0.06003644284337954,650.3,"BNDES, 2025b",Tabela 1,11
2024,2,Indústria Verde,1286.8,9549.2,0.1347547438528882,650.3,"BNDES, 2025b",Tabela 1,11
2024,3,"Logística de Transporte, Transporte Coletivo e Mobilidade Verdes",1507.2,9549.2,0.15783521132660328,650.3,"BNDES, 2025b",Tabela 1,11
2024,4,Transição Energética,6076.5,9549.2,0.6363360281489548,650.3,"BNDES, 2025b",Tabela 1,11
2024,5,Florestas Nativas e Recursos Hídricos,105.4,9549.2,0.011037573828174087,650.3,"BNDES, 2025b",Tabela 1,11
2024,6,Serviços e Inovação Verdes,0,9549.2,0,650.3,"BNDES, 2025b",Tabela 1,11
2025,1,Desenvolvimento Urbano Resiliente e Sustentável,1370.4,10547.8,0.12992282750905404,2001.1,"BNDES, 2026b",Tabela 1,10
2025,2,Indústria Verde,1598,10547.8,0.15150078689394947,2001.1,"BNDES, 2026b",Tabela 1,10
2025,3,"Logística de Transporte, Transporte Coletivo e Mobilidade Verdes",897.7,10547.8,0.08510779499042455,2001.1,"BNDES, 2026b",Tabela 1,10
2025,4,Transição Energética,5288.8,10547.8,0.5014126168490112,2001.1,"BNDES, 2026b",Tabela 1,10
2025,5,Florestas Nativas e Recursos Hídricos,1392.9,10547.8,0.13205597375756084,2001.1,"BNDES, 2026b",Tabela 1,10
2025,6,Serviços e Inovação Verdes,0,10547.8,0,2001.1,"BNDES, 2026b",Tabela 1,10
