universo,serie,ano,valor_total_real_jun2026,valor_verde_real_jun2026,participacao_verde_pct
Contratações,Valor contratado,2002,90118162564.03546,50710357.210211,0.05627096222049316
Contratações,Valor contratado,2003,64912624861.515686,158489912.746679,0.2441588413421899
Contratações,Valor contratado,2004,79544126725.98991,704926457.668543,0.886208054174562
Contratações,Valor contratado,2005,93928040836.83708,95924305.945491,0.10212531326201262
Contratações,Valor contratado,2006,126478984213.03802,1586146419.547949,1.254079030929189
Contratações,Valor contratado,2007,203803494085.6458,1789712383.921782,0.8781558883233269
Contratações,Valor contratado,2008,190806088400.57504,6230462417.953499,3.2653373223989437
Contratações,Valor contratado,2009,355546947346.20245,2173612678.12073,0.6113433667043257
Contratações,Valor contratado,2010,296791232584.5601,3693481856.33218,1.2444713491594983
Contratações,Valor contratado,2011,272653393999.51538,1722606287.902701,0.6317934512510645
Contratações,Valor contratado,2012,416706957639.0159,2431177275.853452,0.5834261298702691
Contratações,Valor contratado,2013,340887738375.23926,6050026183.10244,1.7747855091351945
Contratações,Valor contratado,2014,263109354702.95593,3803384290.159749,1.4455526655271067
Contratações,Valor contratado,2015,112534608616.68991,2654933730.380031,2.3592153231928337
Contratações,Valor contratado,2016,67173934380.54272,587924218.241469,0.8752267135506124
Contratações,Valor contratado,2017,83652669304.70311,345820988.495859,0.413401020398062
Contratações,Valor contratado,2018,103330367320.51106,3653292992.013144,3.5355463130033464
Contratações,Valor contratado,2019,52408493927.42018,799423147.257148,1.5253694341307695
Contratações,Valor contratado,2020,73120637194.03596,739705147.228437,1.0116229502561973
Contratações,Valor contratado,2021,67119070188.96972,2937842732.470079,4.377061130612744
Contratações,Valor contratado,2022,96261052328.5216,15797702613.167707,16.411313019156488
Contratações,Valor contratado,2023,89014552186.08128,4194900458.823,4.712600755496395
Contratações,Valor contratado,2024,148661228307.3133,12882599598.530113,8.665742739525287
Contratações,Valor contratado,2025,128517567416.06197,15509782872.540312,12.068220076348814
Desembolsos,Desembolsos realizados,2002,149798350667.61154,153878651.364205,0.10272386223106506
Desembolsos,Desembolsos realizados,2003,117350226868.87071,114810293.530924,0.09783559571573315
Desembolsos,Desembolsos realizados,2004,131175089204.71423,431457970.248842,0.3289176114647049
Desembolsos,Desembolsos realizados,2005,144712782532.2483,417616422.678461,0.28858295402163103
Desembolsos,Desembolsos realizados,2006,151755371992.8493,755606813.379291,0.49791108114109794
Desembolsos,Desembolsos realizados,2007,185116930450.92972,1509596608.567649,0.8154827356365488
Desembolsos,Desembolsos realizados,2008,245225951341.29654,2034875725.100584,0.8297962405571497
Desembolsos,Desembolsos realizados,2009,350685124317.3142,3005192258.485275,0.8569488837986907
Desembolsos,Desembolsos realizados,2010,412926769306.4592,3334401141.895793,0.8075042331346463
Desembolsos,Desembolsos realizados,2011,318850878308.3568,2669091995.522029,0.8370972693199805
Desembolsos,Desembolsos realizados,2012,338943861054.72626,2143906261.027915,0.6325254732027017
Desembolsos,Desembolsos realizados,2013,391005271234.26276,1801414037.047273,0.4607134914986844
Desembolsos,Desembolsos realizados,2014,362972199019.171,3098277464.511331,0.8535853359798748
Desembolsos,Desembolsos realizados,2015,240909278216.21362,1474056049.341805,0.6118718466371622
Desembolsos,Desembolsos realizados,2016,143859147705.8203,1528268581.203345,1.0623367408852749
Desembolsos,Desembolsos realizados,2017,111573297973.13063,1314176530.081228,1.1778593569921285
Desembolsos,Desembolsos realizados,2018,105197651093.3553,1504260059.923403,1.429936927573108
Desembolsos,Desembolsos realizados,2019,81159032801.87898,1934995750.449387,2.3842025756676937
Desembolsos,Desembolsos realizados,2020,92149083346.60168,1626058999.080762,1.764595956928451
Desembolsos,Desembolsos realizados,2021,83949007271.5477,1169802715.704001,1.393468194233757
Desembolsos,Desembolsos realizados,2022,116793218251.39095,2116312924.838992,1.8120169617072674
Desembolsos,Desembolsos realizados,2023,131043192499.4643,3732473844.474602,2.8482775589352802
Desembolsos,Desembolsos realizados,2024,146697164329.54907,4617645830.73012,3.14774034783438
Desembolsos,Desembolsos realizados,2025,177252816355.9214,11840339719.328325,6.679916270302343
