universo,serie,ano,valor_total_real_jun2026,valor_verde_real_jun2026,valor_verde_bilhoes_jun2026
Contratações,Valor contratado,2002,90118162564.03546,50710357.210211,0.050710357210211
Contratações,Valor contratado,2003,64912624861.515686,158489912.746679,0.158489912746679
Contratações,Valor contratado,2004,79544126725.98991,704926457.668543,0.704926457668543
Contratações,Valor contratado,2005,93928040836.83708,95924305.945491,0.095924305945491
Contratações,Valor contratado,2006,126478984213.03802,1586146419.547949,1.586146419547949
Contratações,Valor contratado,2007,203803494085.6458,1789712383.921782,1.789712383921782
Contratações,Valor contratado,2008,190806088400.57504,6230462417.953499,6.230462417953499
Contratações,Valor contratado,2009,355546947346.20245,2173612678.12073,2.17361267812073
Contratações,Valor contratado,2010,296791232584.5601,3693481856.33218,3.69348185633218
Contratações,Valor contratado,2011,272653393999.51538,1722606287.902701,1.722606287902701
Contratações,Valor contratado,2012,416706957639.0159,2431177275.853452,2.431177275853452
Contratações,Valor contratado,2013,340887738375.23926,6050026183.10244,6.05002618310244
Contratações,Valor contratado,2014,263109354702.95593,3803384290.159749,3.803384290159749
Contratações,Valor contratado,2015,112534608616.68991,2654933730.380031,2.654933730380031
Contratações,Valor contratado,2016,67173934380.54272,587924218.241469,0.587924218241469
Contratações,Valor contratado,2017,83652669304.70311,345820988.495859,0.345820988495859
Contratações,Valor contratado,2018,103330367320.51106,3653292992.013144,3.653292992013144
Contratações,Valor contratado,2019,52408493927.42018,799423147.257148,0.799423147257148
Contratações,Valor contratado,2020,73120637194.03596,739705147.228437,0.739705147228437
Contratações,Valor contratado,2021,67119070188.96972,2937842732.470079,2.937842732470079
Contratações,Valor contratado,2022,96261052328.5216,15797702613.167707,15.797702613167708
Contratações,Valor contratado,2023,89014552186.08128,4194900458.823,4.194900458823
Contratações,Valor contratado,2024,148661228307.3133,12882599598.530113,12.882599598530113
Contratações,Valor contratado,2025,128517567416.06197,15509782872.540312,15.509782872540312
Desembolsos,Desembolsos realizados,2002,149798350667.61154,153878651.364205,0.153878651364205
Desembolsos,Desembolsos realizados,2003,117350226868.87071,114810293.530924,0.114810293530924
Desembolsos,Desembolsos realizados,2004,131175089204.71423,431457970.248842,0.431457970248842
Desembolsos,Desembolsos realizados,2005,144712782532.2483,417616422.678461,0.417616422678461
Desembolsos,Desembolsos realizados,2006,151755371992.8493,755606813.379291,0.755606813379291
Desembolsos,Desembolsos realizados,2007,185116930450.92972,1509596608.567649,1.509596608567649
Desembolsos,Desembolsos realizados,2008,245225951341.29654,2034875725.100584,2.034875725100584
Desembolsos,Desembolsos realizados,2009,350685124317.3142,3005192258.485275,3.005192258485275
Desembolsos,Desembolsos realizados,2010,412926769306.4592,3334401141.895793,3.334401141895793
Desembolsos,Desembolsos realizados,2011,318850878308.3568,2669091995.522029,2.669091995522029
Desembolsos,Desembolsos realizados,2012,338943861054.72626,2143906261.027915,2.143906261027915
Desembolsos,Desembolsos realizados,2013,391005271234.26276,1801414037.047273,1.801414037047273
Desembolsos,Desembolsos realizados,2014,362972199019.171,3098277464.511331,3.098277464511331
Desembolsos,Desembolsos realizados,2015,240909278216.21362,1474056049.341805,1.474056049341805
Desembolsos,Desembolsos realizados,2016,143859147705.8203,1528268581.203345,1.528268581203345
Desembolsos,Desembolsos realizados,2017,111573297973.13063,1314176530.081228,1.314176530081228
Desembolsos,Desembolsos realizados,2018,105197651093.3553,1504260059.923403,1.504260059923403
Desembolsos,Desembolsos realizados,2019,81159032801.87898,1934995750.449387,1.934995750449387
Desembolsos,Desembolsos realizados,2020,92149083346.60168,1626058999.080762,1.626058999080762
Desembolsos,Desembolsos realizados,2021,83949007271.5477,1169802715.704001,1.169802715704001
Desembolsos,Desembolsos realizados,2022,116793218251.39095,2116312924.838992,2.116312924838992
Desembolsos,Desembolsos realizados,2023,131043192499.4643,3732473844.474602,3.732473844474602
Desembolsos,Desembolsos realizados,2024,146697164329.54907,4617645830.73012,4.61764583073012
Desembolsos,Desembolsos realizados,2025,177252816355.9214,11840339719.328325,11.840339719328325
