universo,serie,ano,valor_total_real_jun2026,valor_verde_real_jun2026,indice_verde_2006_100
Contratações,Valor contratado,2006,126478984213.03802,1586146419.547949,100.0
Contratações,Valor contratado,2007,203803494085.6458,1789712383.921782,112.83399576893092
Contratações,Valor contratado,2008,190806088400.57504,6230462417.953499,392.804998401672
Contratações,Valor contratado,2009,355546947346.20245,2173612678.12073,137.03732841638973
Contratações,Valor contratado,2010,296791232584.5601,3693481856.33218,232.85882127986775
Contratações,Valor contratado,2011,272653393999.51538,1722606287.902701,108.60323275789652
Contratações,Valor contratado,2012,416706957639.0159,2431177275.853452,153.27571565217391
Contratações,Valor contratado,2013,340887738375.23926,6050026183.10244,381.4292368309033
Contratações,Valor contratado,2014,263109354702.95593,3803384290.159749,239.7877171543666
Contratações,Valor contratado,2015,112534608616.68991,2654933730.380031,167.38263868077738
Contratações,Valor contratado,2016,67173934380.54272,587924218.241469,37.06620088762216
Contratações,Valor contratado,2017,83652669304.70311,345820988.495859,21.80258923349698
Contratações,Valor contratado,2018,103330367320.51106,3653292992.013144,230.32507888233488
Contratações,Valor contratado,2019,52408493927.42018,799423147.257148,50.40033740926536
Contratações,Valor contratado,2020,73120637194.03596,739705147.228437,46.63536342623731
Contratações,Valor contratado,2021,67119070188.96972,2937842732.470079,185.21888624300917
Contratações,Valor contratado,2022,96261052328.5216,15797702613.167707,995.9800948055001
Contratações,Valor contratado,2023,89014552186.08128,4194900458.823,264.4711993246213
Contratações,Valor contratado,2024,148661228307.3133,12882599598.530113,812.1948541296488
Contratações,Valor contratado,2025,128517567416.06197,15509782872.540312,977.8279408127146
Desembolsos,Desembolsos realizados,2006,151755371992.8493,755606813.379291,100.0
Desembolsos,Desembolsos realizados,2007,185116930450.92972,1509596608.567649,199.78599740469497
Desembolsos,Desembolsos realizados,2008,245225951341.29654,2034875725.100584,269.303517261846
Desembolsos,Desembolsos realizados,2009,350685124317.3142,3005192258.485275,397.719052458671
Desembolsos,Desembolsos realizados,2010,412926769306.4592,3334401141.895793,441.2878606776177
Desembolsos,Desembolsos realizados,2011,318850878308.3568,2669091995.522029,353.2382117605692
Desembolsos,Desembolsos realizados,2012,338943861054.72626,2143906261.027915,283.73305045248986
Desembolsos,Desembolsos realizados,2013,391005271234.26276,1801414037.047273,238.40627230329372
Desembolsos,Desembolsos realizados,2014,362972199019.171,3098277464.511331,410.0383175020541
Desembolsos,Desembolsos realizados,2015,240909278216.21362,1474056049.341805,195.08241895667965
Desembolsos,Desembolsos realizados,2016,143859147705.8203,1528268581.203345,202.25712025656418
Desembolsos,Desembolsos realizados,2017,111573297973.13063,1314176530.081228,173.92332980745005
Desembolsos,Desembolsos realizados,2018,105197651093.3553,1504260059.923403,199.07973740944968
Desembolsos,Desembolsos realizados,2019,81159032801.87898,1934995750.449387,256.0850056123143
Desembolsos,Desembolsos realizados,2020,92149083346.60168,1626058999.080762,215.19909168216182
Desembolsos,Desembolsos realizados,2021,83949007271.5477,1169802715.704001,154.81632708846374
Desembolsos,Desembolsos realizados,2022,116793218251.39095,2116312924.838992,280.0812389944225
Desembolsos,Desembolsos realizados,2023,131043192499.4643,3732473844.474602,493.97037961872064
Desembolsos,Desembolsos realizados,2024,146697164329.54907,4617645830.73012,611.1175480378054
Desembolsos,Desembolsos realizados,2025,177252816355.9214,11840339719.328325,1566.9974793338508
