painel,ordem_exibicao,posicao_uf,territorio,tipo_linha,valor_real_acumulado_jun2026,participacao_pct
A. Desembolsos realizados,1,1.0,SP,UF,15541776752.732079,28.607033122736173
A. Desembolsos realizados,2,2.0,MG,UF,7958982672.476803,14.649733074746615
A. Desembolsos realizados,3,3.0,RJ,UF,6343714373.062449,11.676583062452863
A. Desembolsos realizados,4,4.0,PR,UF,3026319805.834386,5.570407573270411
A. Desembolsos realizados,5,5.0,RS,UF,2795930661.913023,5.146340880244553
A. Desembolsos realizados,6,6.0,MT,UF,2586615757.149104,4.761064569245478
A. Desembolsos realizados,7,7.0,AM,UF,1934978166.343127,3.561625248967658
A. Desembolsos realizados,8,8.0,MS,UF,1880119313.0175738,3.4606490826561997
A. Desembolsos realizados,9,9.0,PA,UF,1514651754.5533671,2.787949769276009
A. Desembolsos realizados,10,10.0,BA,UF,1448172669.884901,2.665584777979523
A. Desembolsos realizados,11,11.0,ES,UF,1120265297.018475,2.0620207694352444
A. Desembolsos realizados,12,12.0,CE,UF,1110108411.764942,2.043325458243068
A. Desembolsos realizados,13,13.0,GO,UF,1066011538.442103,1.9621583731777268
A. Desembolsos realizados,14,14.0,PE,UF,1018163328.852682,1.8740863761103665
A. Desembolsos realizados,15,15.0,RN,UF,944941031.3138549,1.7393094632552872
A. Desembolsos realizados,16,16.0,AC,UF,907282040.6675419,1.6699922925142705
A. Desembolsos realizados,17,17.0,SC,UF,898147539.684796,1.6531788369917453
A. Desembolsos realizados,18,18.0,DF,UF,496954301.263039,0.9147209088702731
A. Desembolsos realizados,19,19.0,MA,UF,378569849.717348,0.6968160978267606
A. Desembolsos realizados,20,20.0,AL,UF,328782144.149714,0.6051741597820663
A. Desembolsos realizados,21,21.0,RO,UF,313001064.771463,0.5761266533309912
A. Desembolsos realizados,22,22.0,TO,UF,188473523.406227,0.346914539606479
A. Desembolsos realizados,23,23.0,RR,UF,133524810.189227,0.2457729723288431
A. Desembolsos realizados,24,24.0,AP,UF,130869559.407422,0.24088557442879835
A. Desembolsos realizados,25,25.0,PI,UF,111548954.38495,0.20532302603921346
A. Desembolsos realizados,26,26.0,PB,UF,84135560.25428501,0.15486445322740816
A. Desembolsos realizados,27,27.0,SE,UF,66475766.26066,0.12235888325597487
B. Valor contratado,1,1.0,SP,UF,21070095350.574936,23.257564836289887
B. Valor contratado,2,2.0,RJ,UF,19495671529.046528,21.519686411928745
B. Valor contratado,3,3.0,MG,UF,6637834105.141435,7.326965279663561
B. Valor contratado,4,4.0,PR,UF,4976891851.679422,5.4935861939741315
B. Valor contratado,5,5.0,MT,UF,3537216481.676964,3.904445627501652
B. Valor contratado,6,6.0,RS,UF,3199125683.406988,3.531254688852083
B. Valor contratado,7,7.0,BA,UF,3088858325.761188,3.4095395196939338
B. Valor contratado,8,8.0,AM,UF,2225908904.152111,2.456999828269884
B. Valor contratado,9,9.0,CE,UF,1964866864.96785,2.168856749166086
B. Valor contratado,10,10.0,MS,UF,1909600877.137237,2.107853119432772
B. Valor contratado,11,11.0,GO,UF,1590845676.883281,1.7560051750612884
B. Valor contratado,12,12.0,PA,UF,1512151555.245685,1.6691411335954616
B. Valor contratado,13,13.0,ES,UF,1437147428.934749,1.5863501779001292
B. Valor contratado,14,14.0,SC,UF,1310972969.256383,1.447076452374565
B. Valor contratado,15,15.0,RN,UF,1245858167.627681,1.3752015179955726
B. Valor contratado,16,16.0,AC,UF,1072247548.090979,1.183566873113288
B. Valor contratado,17,17.0,DF,UF,1005422489.805785,1.1098041254893507
B. Valor contratado,18,18.0,PE,UF,876556335.2863951,0.9675592569175396
B. Valor contratado,19,19.0,AL,UF,485418973.441895,0.535814530487262
B. Valor contratado,20,20.0,MA,UF,383216929.065851,0.4230020047759173
B. Valor contratado,21,21.0,PI,UF,356452531.923979,0.3934589632531216
B. Valor contratado,22,22.0,RO,UF,312966379.663419,0.34545813606877046
B. Valor contratado,23,23.0,PB,UF,185261156.081806,0.20449472475220917
B. Valor contratado,24,24.0,SE,UF,161201926.43157798,0.1779376976390833
B. Valor contratado,25,25.0,TO,UF,139702680.661296,0.15420642855301245
B. Valor contratado,26,26.0,AP,UF,94276512.662603,0.1040641757575133
B. Valor contratado,27,27.0,RR,UF,66283907.125018,0.07316541486465832
B. Valor contratado,28,,Sem identificação territorial,Residual,10252536183.879665,11.31694095662851
