universo,recorte,valor_total_real_jun2026,valor_municipal_identificado_real_jun2026,valor_sem_municipio_valido_real_jun2026,cobertura_municipal_pct,residual_municipal_pct
Desembolsos,2002,153878651.364205,106953838.082138,46924813.282067,69.50531287735046,30.494687122649538
Desembolsos,2003,114810293.530924,106857669.237991,7952624.292933,93.0732480090812,6.926751990918803
Desembolsos,2004,431457970.248842,92285574.796544,339172395.452298,21.38923861884359,78.61076138115641
Desembolsos,2005,417616422.678461,164562103.436558,253054319.241903,39.40508430705579,60.59491569294421
Desembolsos,2006,755606813.379291,358148979.366139,397457834.013152,47.398855201476245,52.601144798523755
Desembolsos,2007,1509596608.567649,356739544.574436,1152857063.993213,23.63144846442927,76.36855153557073
Desembolsos,2008,2034875725.100584,1318826015.656716,716049709.443868,64.81113315121623,35.18886684878378
Desembolsos,2009,3005192258.485275,1324418585.443307,1680773673.041968,44.071010155964586,55.928989844035414
Desembolsos,2010,3334401141.895793,1152868667.843145,2181532474.052648,34.57498419604292,65.42501580395708
Desembolsos,2011,2669091995.522029,1349738917.895752,1319353077.626277,50.56921680332588,49.43078319667412
Desembolsos,2012,2143906261.027915,1134100597.282411,1009805663.745504,52.89879589878414,47.10120410121586
Desembolsos,2013,1801414037.047273,685024702.219512,1116389334.827761,38.02705475429442,61.97294524570558
Desembolsos,2014,3098277464.511331,990545404.572842,2107732059.938489,31.97084237673573,68.02915762326427
Desembolsos,2015,1474056049.341805,537383444.759466,936672604.582339,36.456106604590666,63.543893395409334
Desembolsos,2016,1528268581.203345,329587070.387805,1198681510.81554,21.56604372042322,78.43395627957678
Desembolsos,2017,1314176530.081228,235262159.253817,1078914370.827411,17.901868879006358,82.09813112099364
Desembolsos,2018,1504260059.923403,489871393.594532,1014388666.328871,32.5656052863277,67.43439471367229
Desembolsos,2019,1934995750.449387,1059828607.552322,875167142.897065,54.77162455298341,45.22837544701659
Desembolsos,2020,1626058999.080762,791645551.755072,834413447.32569,48.68492177729112,51.31507822270888
Desembolsos,2021,1169802715.704001,447549758.728006,722252956.975995,38.25856725410877,61.74143274589123
Desembolsos,2022,2116312924.838992,1074251877.143866,1042061047.695126,50.760540397190766,49.239459602809234
Desembolsos,2023,3732473844.474602,1656663718.065053,2075810126.409549,44.385139376596264,55.614860623403736
Desembolsos,2024,4617645830.73012,1898313703.65593,2719332127.07419,41.109989229203784,58.890010770796216
Desembolsos,2025,11840339719.328325,7141132272.16752,4699207447.160805,60.31188666411524,39.68811333588476
Desembolsos,2002-2025,54328516648.51554,24802560157.47088,29525956491.044662,45.65293088698489,54.34706911301511
Contratações,2002,50710357.210211,46872472.853057,3837884.357154,92.43175444171155,7.5682455582884485
Contratações,2003,158489912.746679,120894679.985821,37595232.760858,76.27910060058647,23.720899399413526
Contratações,2004,704926457.668543,703373114.447705,1553343.220838,99.77964464180059,0.2203553581994199
Contratações,2005,95924305.945491,93812304.333902,2112001.611589,97.79826229570101,2.201737704298997
Contratações,2006,1586146419.547949,291433202.904451,1294713216.643498,18.373663320912662,81.62633667908733
Contratações,2007,1789712383.921782,580534273.029374,1209178110.892408,32.43729429626307,67.56270570373692
Contratações,2008,6230462417.953499,2815762403.252465,3414700014.701034,45.19347384455213,54.80652615544787
Contratações,2009,2173612678.12073,1573018588.434467,600594089.686263,72.36885413248847,27.631145867511542
Contratações,2010,3693481856.33218,1705765544.260163,1987716312.072017,46.183130460916274,53.816869539083726
Contratações,2011,1722606287.902701,1213529634.396016,509076653.506685,70.44730086719389,29.552699132806108
Contratações,2012,2431177275.853452,999992074.423846,1431185201.429606,41.132009761517864,58.867990238482136
Contratações,2013,6050026183.10244,716237676.791168,5333788506.311272,11.8385880509344,88.1614119490656
Contratações,2014,3803384290.159749,1399139644.260598,2404244645.899151,36.78670198750365,63.21329801249635
Contratações,2015,2654933730.380031,358478421.088872,2296455309.291159,13.502349116546833,86.49765088345316
Contratações,2016,587924218.241469,164061661.064526,423862557.176943,27.905239480565758,72.09476051943425
Contratações,2017,345820988.495859,41390714.659538,304430273.836321,11.968826657851517,88.03117334214848
Contratações,2018,3653292992.013144,2198539724.816752,1454753267.196392,60.179671590075465,39.820328409924535
Contratações,2019,799423147.257148,573984640.513405,225438506.743743,71.79985249148322,28.200147508516775
Contratações,2020,739705147.228437,294602533.619773,445102613.608664,39.827022256584804,60.172977743415196
Contratações,2021,2937842732.470079,2109102851.793074,828739880.677005,71.79086982711912,28.209130172880876
Contratações,2022,15797702613.167707,1003730606.670072,14793972006.497635,6.3536492061411645,93.64635079385883
Contratações,2023,4194900458.823,1752958297.868889,2441942160.954111,41.78784014247461,58.21215985752539
Contratações,2024,12882599598.530113,8882510950.695555,4000088647.834559,68.94967807358567,31.05032192641432
Contratações,2025,15509782872.540312,5564758420.86966,9945024451.67065,35.87902207658837,64.12097792341163
Contratações,2002-2025,90594589325.6127,35204484437.03315,55390104888.57956,38.859367539602296,61.140632460397704
