painel,universo,recorte,posicao,codigo_municipio,municipio,uf,rotulo_municipio,valor_referencia_real_jun2026,participacao_total_pct,quantidade_registros
"A. Desembolsos — média anual, 2002–2025",Desembolsos,media_2002_2025,1,3550308,São Paulo,SP,São Paulo (SP),154998889.32740346,6.847183713710554,148
"A. Desembolsos — média anual, 2002–2025",Desembolsos,media_2002_2025,2,1302603,Manaus,AM,Manaus (AM),50400458.473210834,2.2264752987510676,50
"A. Desembolsos — média anual, 2002–2025",Desembolsos,media_2002_2025,3,3304524,Rio das Ostras,RJ,Rio das Ostras (RJ),29093031.795777168,1.2852049092669833,5
"A. Desembolsos — média anual, 2002–2025",Desembolsos,media_2002_2025,4,3513504,Cubatão,SP,Cubatão (SP),24018813.288500335,1.0610477783765495,15
"A. Desembolsos — média anual, 2002–2025",Desembolsos,media_2002_2025,5,5103403,Cuiabá,MT,Cuiabá (MT),23796984.342375293,1.0512483304338704,5
"A. Desembolsos — média anual, 2002–2025",Desembolsos,media_2002_2025,6,5102702,Canarana,MT,Canarana (MT),22130201.153465834,0.9776170240747634,6
"A. Desembolsos — média anual, 2002–2025",Desembolsos,media_2002_2025,7,3520442,Ilha Solteira,SP,Ilha Solteira (SP),21717267.024451792,0.9593753717939665,2
"A. Desembolsos — média anual, 2002–2025",Desembolsos,media_2002_2025,8,3304557,Rio de Janeiro,RJ,Rio de Janeiro (RJ),21522495.660614084,0.9507712113631799,174
"A. Desembolsos — média anual, 2002–2025",Desembolsos,media_2002_2025,9,3104502,Arinos,MG,Arinos (MG),21097114.95666117,0.931979722979797,1
"A. Desembolsos — média anual, 2002–2025",Desembolsos,media_2002_2025,10,3509007,Caieiras,SP,Caieiras (SP),19764911.84532225,0.8731287241958874,26
B. Desembolsos — 2025,Desembolsos,ano_2025,1,3550308,São Paulo,SP,São Paulo (SP),1846042847.760095,15.591130757393644,16
B. Desembolsos — 2025,Desembolsos,ano_2025,2,3513504,Cubatão,SP,Cubatão (SP),570018587.450865,4.814208046077928,10
