universo,painel,ano,setor_bndes,valor_real_jun2026,valor_total_verde_real_jun2026,participacao_verde_estrito_pct
Desembolsos,A. Desembolsos realizados,2002,Agropecuária,0.0,153878651.364205,0.0
Desembolsos,A. Desembolsos realizados,2002,Comércio e Serviços,145511160.363989,153878651.364205,94.56227948059438
Desembolsos,A. Desembolsos realizados,2002,Indústria,1961768.860276,153878651.364205,1.2748804612491837
Desembolsos,A. Desembolsos realizados,2002,Infraestrutura,6405722.13994,153878651.364205,4.162840058156429
Desembolsos,A. Desembolsos realizados,2003,Agropecuária,0.0,114810293.530924,0.0
Desembolsos,A. Desembolsos realizados,2003,Comércio e Serviços,75704632.607046,114810293.530924,65.93888951834711
Desembolsos,A. Desembolsos realizados,2003,Indústria,1047643.847694,114810293.530924,0.9124999296442166
Desembolsos,A. Desembolsos realizados,2003,Infraestrutura,38058017.076184,114810293.530924,33.14861055200867
Desembolsos,A. Desembolsos realizados,2004,Agropecuária,0.0,431457970.248842,0.0
Desembolsos,A. Desembolsos realizados,2004,Comércio e Serviços,91507722.957234,431457970.248842,21.208954120017115
Desembolsos,A. Desembolsos realizados,2004,Indústria,489682.700026,431457970.248842,0.11349487871172645
Desembolsos,A. Desembolsos realizados,2004,Infraestrutura,339460564.591582,431457970.248842,78.67755100127115
Desembolsos,A. Desembolsos realizados,2005,Agropecuária,0.0,417616422.678461,0.0
Desembolsos,A. Desembolsos realizados,2005,Comércio e Serviços,79696690.75532,417616422.678461,19.083706106232693
Desembolsos,A. Desembolsos realizados,2005,Indústria,463746.272998,417616422.678461,0.11104598569751557
Desembolsos,A. Desembolsos realizados,2005,Infraestrutura,337455985.650143,417616422.678461,80.80524790806979
Desembolsos,A. Desembolsos realizados,2006,Agropecuária,0.0,755606813.379291,0.0
Desembolsos,A. Desembolsos realizados,2006,Comércio e Serviços,242433921.60453,755606813.379291,32.0846659018724
Desembolsos,A. Desembolsos realizados,2006,Indústria,9452895.353746,755606813.379291,1.2510336310322472
Desembolsos,A. Desembolsos realizados,2006,Infraestrutura,503719996.421015,755606813.379291,66.66430046709536
Desembolsos,A. Desembolsos realizados,2007,Agropecuária,0.0,1509596608.567649,0.0
Desembolsos,A. Desembolsos realizados,2007,Comércio e Serviços,166101208.268273,1509596608.567649,11.003019437482365
Desembolsos,A. Desembolsos realizados,2007,Indústria,101062072.319413,1509596608.567649,6.694640922339098
Desembolsos,A. Desembolsos realizados,2007,Infraestrutura,1242433327.979963,1509596608.567649,82.30233964017853
Desembolsos,A. Desembolsos realizados,2008,Agropecuária,6669754.130526,2034875725.100584,0.32777206235512557
Desembolsos,A. Desembolsos realizados,2008,Comércio e Serviços,86290000.570217,2034875725.100584,4.240553833623018
Desembolsos,A. Desembolsos realizados,2008,Indústria,214447774.89019,2034875725.100584,10.538617776257066
Desembolsos,A. Desembolsos realizados,2008,Infraestrutura,1727468195.509651,2034875725.100584,84.8930563277648
Desembolsos,A. Desembolsos realizados,2009,Agropecuária,21280462.270577,3005192258.485275,0.7081231561971053
Desembolsos,A. Desembolsos realizados,2009,Comércio e Serviços,117587587.520978,3005192258.485275,3.912814136565305
Desembolsos,A. Desembolsos realizados,2009,Indústria,196180045.187743,3005192258.485275,6.52803642208984
Desembolsos,A. Desembolsos realizados,2009,Infraestrutura,2670144163.505977,3005192258.485275,88.85102628514775
Desembolsos,A. Desembolsos realizados,2010,Agropecuária,32828890.318606,3334401141.895793,0.984551315860603
Desembolsos,A. Desembolsos realizados,2010,Comércio e Serviços,157957240.441063,3334401141.895793,4.737199686515687
Desembolsos,A. Desembolsos realizados,2010,Indústria,186399914.53533,3334401141.895793,5.590206654900293
Desembolsos,A. Desembolsos realizados,2010,Infraestrutura,2957215096.600794,3334401141.895793,88.68804234272342
Desembolsos,A. Desembolsos realizados,2011,Agropecuária,60562891.848383,2669091995.522029,2.2690447519227575
Desembolsos,A. Desembolsos realizados,2011,Comércio e Serviços,424577182.93703,2669091995.522029,15.9071768095423
Desembolsos,A. Desembolsos realizados,2011,Indústria,375830314.764167,2669091995.522029,14.08083031213246
Desembolsos,A. Desembolsos realizados,2011,Infraestrutura,1808121605.972449,2669091995.522029,67.74294812640248
Desembolsos,A. Desembolsos realizados,2012,Agropecuária,54371084.272692,2143906261.027915,2.536075632645585
Desembolsos,A. Desembolsos realizados,2012,Comércio e Serviços,454061646.872762,2143906261.027915,21.1791744409132
Desembolsos,A. Desembolsos realizados,2012,Indústria,242944861.070361,2143906261.027915,11.331878892591083
Desembolsos,A. Desembolsos realizados,2012,Infraestrutura,1392528668.8121,2143906261.027915,64.95287103385013
Desembolsos,A. Desembolsos realizados,2013,Agropecuária,128715542.732833,1801414037.047273,7.145250346989232
Desembolsos,A. Desembolsos realizados,2013,Comércio e Serviços,316812341.067472,1801414037.047273,17.586869789621726
Desembolsos,A. Desembolsos realizados,2013,Indústria,304057201.915633,1801414037.047273,16.8788071849389
Desembolsos,A. Desembolsos realizados,2013,Infraestrutura,1051828951.331335,1801414037.047273,58.38907267845014
Desembolsos,A. Desembolsos realizados,2014,Agropecuária,124672268.401489,3098277464.511331,4.023921996319741
Desembolsos,A. Desembolsos realizados,2014,Comércio e Serviços,1039411133.691003,3098277464.511331,33.548032595426115
Desembolsos,A. Desembolsos realizados,2014,Indústria,263844382.808118,3098277464.511331,8.515841006180906
Desembolsos,A. Desembolsos realizados,2014,Infraestrutura,1670349679.610721,3098277464.511331,53.91220440207324
Desembolsos,A. Desembolsos realizados,2015,Agropecuária,27687143.38276,1474056049.341805,1.8782965135635685
Desembolsos,A. Desembolsos realizados,2015,Comércio e Serviços,408458276.076941,1474056049.341805,27.709819871457782
Desembolsos,A. Desembolsos realizados,2015,Indústria,110058492.489115,1474056049.341805,7.466370938761676
Desembolsos,A. Desembolsos realizados,2015,Infraestrutura,927852137.392989,1474056049.341805,62.94551267621697
Desembolsos,A. Desembolsos realizados,2016,Agropecuária,46596979.233874,1528268581.203345,3.049004592974355
Desembolsos,A. Desembolsos realizados,2016,Comércio e Serviços,390604681.305689,1528268581.203345,25.558641073294222
Desembolsos,A. Desembolsos realizados,2016,Indústria,84124855.400056,1528268581.203345,5.504585806103325
Desembolsos,A. Desembolsos realizados,2016,Infraestrutura,1006942065.263726,1528268581.203345,65.8877685276281
Desembolsos,A. Desembolsos realizados,2017,Agropecuária,80867682.22761,1314176530.081228,6.153487022220039
Desembolsos,A. Desembolsos realizados,2017,Comércio e Serviços,399053061.369938,1314176530.081228,30.36525552204717
Desembolsos,A. Desembolsos realizados,2017,Indústria,58238237.302427,1314176530.081228,4.431538379309464
Desembolsos,A. Desembolsos realizados,2017,Infraestrutura,776017549.181253,1314176530.081228,59.04971907642332
