universo,setor_bndes,territorio,tipo_territorio,valor_acumulado_real_jun2026,valor_medio_anual_real_jun2026,valor_medio_anual_milhoes,participacao_total_setor_pct
Desembolsos,Agropecuária,AC,UF,43025638.078287,1792734.919928625,1.792734919928625,2.6438852630598264
Desembolsos,Agropecuária,AL,UF,2038051.283704,84918.80348766666,0.08491880348766667,0.12523634732716313
Desembolsos,Agropecuária,AM,UF,97922152.3223,4080089.6800958333,4.080089680095833,6.0172247760964765
Desembolsos,Agropecuária,AP,UF,7682441.443384,320101.72680766665,0.3201017268076667,0.47207884934850664
Desembolsos,Agropecuária,BA,UF,61144872.610952,2547703.0254563335,2.5477030254563333,3.757295297134676
Desembolsos,Agropecuária,CE,UF,19977210.524738,832383.7718640834,0.8323837718640833,1.227580922967251
Desembolsos,Agropecuária,DF,UF,9426595.708433,392774.82118470833,0.39277482118470836,0.5792554994536243
Desembolsos,Agropecuária,ES,UF,6506260.499639,271094.1874849583,0.27109418748495834,0.39980362920648355
Desembolsos,Agropecuária,GO,UF,27233534.177464,1134730.5907276666,1.1347305907276666,1.6734752321818405
Desembolsos,Agropecuária,MA,UF,88868008.822267,3702833.7009277917,3.702833700927792,5.46085611688427
Desembolsos,Agropecuária,MG,UF,338411201.702562,14100466.73760675,14.10046673760675,20.795052182788965
Desembolsos,Agropecuária,MS,UF,2381208.29022,99217.0120925,0.0992170120925,0.14632302478195333
Desembolsos,Agropecuária,MT,UF,85853797.5953,3577241.5664708335,3.5772415664708332,5.275635653024393
Desembolsos,Agropecuária,PA,UF,240773764.149064,10032240.172877667,10.032240172877666,14.795322863239615
Desembolsos,Agropecuária,PB,UF,2183144.476207,90964.35317529166,0.09096435317529167,0.1341521884526565
Desembolsos,Agropecuária,PE,UF,3426836.466912,142784.852788,0.142784852788,0.21057589935794288
Desembolsos,Agropecuária,PI,UF,3361793.665329,140074.736055375,0.140074736055375,0.20657907996712946
Desembolsos,Agropecuária,PR,UF,123131810.628411,5130492.109517125,5.130492109517125,7.566334726796694
Desembolsos,Agropecuária,RJ,UF,105822874.726101,4409286.446920875,4.409286446920875,6.502716786532867
Desembolsos,Agropecuária,RN,UF,1841506.381707,76729.432571125,0.076729432571125,0.1131588467222007
Desembolsos,Agropecuária,RO,UF,33549661.432196,1397902.5596748334,1.3979025596748333,2.0615953511214293
Desembolsos,Agropecuária,RR,UF,6624270.285513,276011.261896375,0.276011261896375,0.407055220297391
Desembolsos,Agropecuária,RS,UF,169498483.945884,7062436.8310785,7.0624368310785,10.415523483930794
Desembolsos,Agropecuária,SC,UF,45128746.849402,1880364.4520584166,1.8803644520584166,2.7731193322082133
Desembolsos,Agropecuária,SE,UF,1698169.263194,70757.05263308334,0.07075705263308334,0.10435091470277466
Desembolsos,Agropecuária,SP,UF,80738367.227122,3364098.634463417,3.3640986344634167,4.961297236008336
Desembolsos,Agropecuária,TO,UF,19113639.274044,796401.6364185,0.7964016364185,1.174515276406527
Desembolsos,Agropecuária,Sem identificação territorial,Residual,0.0,0.0,0.0,0.0
Desembolsos,Comércio e Serviços,AC,UF,711219104.232728,29634129.343030334,29.634129343030335,8.424443624624965
Desembolsos,Comércio e Serviços,AL,UF,53783579.942741,2240982.497614208,2.2409824976142083,0.6370705377029178
Desembolsos,Comércio e Serviços,AM,UF,517811133.197366,21575463.883223582,21.575463883223584,6.133511703865787
Desembolsos,Comércio e Serviços,AP,UF,121842328.920503,5076763.705020959,5.076763705020959,1.4432315231339865
Desembolsos,Comércio e Serviços,BA,UF,194445854.920497,8101910.621687375,8.101910621687376,2.3032257332104886
Desembolsos,Comércio e Serviços,CE,UF,433882931.507469,18078455.479477875,18.078455479477874,5.139375860994323
Desembolsos,Comércio e Serviços,DF,UF,427305535.119038,17804397.296626583,17.804397296626583,5.061466107528228
Desembolsos,Comércio e Serviços,ES,UF,217480439.932472,9061684.997186333,9.061684997186333,2.576072120062487
Desembolsos,Comércio e Serviços,GO,UF,30008984.974623,1250374.373942625,1.250374373942625,0.3554586774263644
Desembolsos,Comércio e Serviços,MA,UF,206825130.693154,8617713.778881418,8.617713778881416,2.4498591830711223
Desembolsos,Comércio e Serviços,MG,UF,248874717.005374,10369779.875223916,10.369779875223916,2.947939686277321
Desembolsos,Comércio e Serviços,MS,UF,481719267.264739,20071636.136030793,20.07163613603079,5.706000845330912
Desembolsos,Comércio e Serviços,MT,UF,457658906.518339,19069121.104930792,19.06912110493079,5.421004067980765
Desembolsos,Comércio e Serviços,PA,UF,670697545.837307,27945731.07655446,27.94573107655446,7.944462726681499
Desembolsos,Comércio e Serviços,PB,UF,35982473.816934,1499269.74237225,1.49926974237225,0.42621510072107427
Desembolsos,Comércio e Serviços,PE,UF,136415362.522711,5683973.438446292,5.683973438446292,1.6158501989976108
Desembolsos,Comércio e Serviços,PI,UF,67451937.42447,2810497.39268625,2.81049739268625,0.7989732570769569
Desembolsos,Comércio e Serviços,PR,UF,135726773.436537,5655282.226522375,5.655282226522375,1.607693809633938
Desembolsos,Comércio e Serviços,RJ,UF,408942578.482446,17039274.10343525,17.03927410343525,4.843955509112439
Desembolsos,Comércio e Serviços,RN,UF,22715788.953452,946491.2063938334,0.9464912063938333,0.26907022363197763
Desembolsos,Comércio e Serviços,RO,UF,274490933.525215,11437122.230217291,11.437122230217291,3.2513656919389624
Desembolsos,Comércio e Serviços,RR,UF,125292274.527266,5220511.438636083,5.220511438636083,1.484096387560754
Desembolsos,Comércio e Serviços,RS,UF,408918784.225061,17038282.676044207,17.038282676044208,4.84367366434936
Desembolsos,Comércio e Serviços,SC,UF,138921758.411871,5788406.600494625,5.788406600494625,1.6455386462616919
Desembolsos,Comércio e Serviços,SE,UF,44814902.95634,1867287.6231808334,1.8672876231808333,0.5308358862294912
Desembolsos,Comércio e Serviços,SP,UF,1704667103.694055,71027795.9872523,71.02779598725229,20.19190967784249
Desembolsos,Comércio e Serviços,TO,UF,164431170.781277,6851298.782553208,6.851298782553208,1.9476995487520872
