universo,setor_bndes,territorio,tipo_territorio,valor_acumulado_real_jun2026,valor_medio_anual_real_jun2026,valor_medio_anual_milhoes,participacao_total_setor_pct
Contratações,Agropecuária,AC,UF,67915236.273704,2829801.511404333,2.8298015114043333,1.3153012903491095
Contratações,Agropecuária,AL,UF,0.0,0.0,0.0,0.0
Contratações,Agropecuária,AM,UF,178644225.425146,7443509.392714417,7.443509392714416,3.4597682803923306
Contratações,Agropecuária,AP,UF,0.0,0.0,0.0,0.0
Contratações,Agropecuária,BA,UF,363439085.397201,15143295.224883376,15.143295224883374,7.038654714528722
Contratações,Agropecuária,CE,UF,232928490.136841,9705353.755701708,9.705353755701708,4.511081171850097
Contratações,Agropecuária,DF,UF,0.0,0.0,0.0,0.0
Contratações,Agropecuária,ES,UF,0.0,0.0,0.0,0.0
Contratações,Agropecuária,GO,UF,5176391.083696,215682.96182066668,0.21568296182066668,0.10025016837603425
Contratações,Agropecuária,MA,UF,2883428.507144,120142.85446433333,0.12014285446433333,0.055842804121177037
Contratações,Agropecuária,MG,UF,452929778.973054,18872074.12387725,18.87207412387725,8.771803727810314
Contratações,Agropecuária,MS,UF,0.0,0.0,0.0,0.0
Contratações,Agropecuária,MT,UF,29367097.47427,1223629.0614279166,1.2236290614279166,0.5687469163185578
Contratações,Agropecuária,PA,UF,270785605.771247,11282733.573801959,11.28273357380196,5.244252633437268
Contratações,Agropecuária,PB,UF,155978548.890755,6499106.203781459,6.499106203781459,3.020806491727201
Contratações,Agropecuária,PE,UF,0.0,0.0,0.0,0.0
Contratações,Agropecuária,PI,UF,155046675.194407,6460278.133100292,6.460278133100291,3.0027590734673386
Contratações,Agropecuária,PR,UF,128933738.244688,5372239.0935286665,5.372239093528667,2.497034856793018
Contratações,Agropecuária,RJ,UF,313041437.591917,13043393.232996542,13.043393232996541,6.062613183557622
Contratações,Agropecuária,RN,UF,0.0,0.0,0.0,0.0
Contratações,Agropecuária,RO,UF,61987849.369976,2582827.057082333,2.5828270570823335,1.2005067306798753
Contratações,Agropecuária,RR,UF,0.0,0.0,0.0,0.0
Contratações,Agropecuária,RS,UF,4282958.963321,178456.62347170833,0.17845662347170832,0.08294724070848263
Contratações,Agropecuária,SC,UF,27537991.681187,1147416.3200494584,1.1474163200494583,0.5333229769814195
Contratações,Agropecuária,SE,UF,132137127.50592,5505713.64608,5.50571364608,2.5590742791666443
Contratações,Agropecuária,SP,UF,109846537.330027,4576939.055417792,4.576939055417792,2.1273767157091914
Contratações,Agropecuária,TO,UF,13785093.520831,574378.8967012917,0.5743788967012917,0.2669732491610648
Contratações,Agropecuária,Sem identificação territorial,Residual,2456826408.044963,102367767.00187346,102.36776700187346,47.58088349486454
Contratações,Comércio e Serviços,AC,UF,830340619.833622,34597525.82640091,34.59752582640092,7.965065648714218
Contratações,Comércio e Serviços,AL,UF,30617950.968116,1275747.9570048333,1.2757479570048333,0.29370355209049365
Contratações,Comércio e Serviços,AM,UF,460303043.668767,19179293.486198626,19.179293486198624,4.4154698367753396
Contratações,Comércio e Serviços,AP,UF,94276512.662603,3928188.0276084584,3.928188027608458,0.9043500878470021
Contratações,Comércio e Serviços,BA,UF,96424699.764277,4017695.823511542,4.017695823511541,0.9249566327779041
Contratações,Comércio e Serviços,CE,UF,264568625.626067,11023692.734419458,11.023692734419459,2.5378819503301746
Contratações,Comércio e Serviços,DF,UF,957898103.892504,39912420.995521,39.912420995521,9.188664386684417
Contratações,Comércio e Serviços,ES,UF,233617717.811454,9734071.57547725,9.73407157547725,2.240984500365494
Contratações,Comércio e Serviços,GO,UF,7518274.936034,313261.45566808333,0.31326145566808333,0.07211926286659631
Contratações,Comércio e Serviços,MA,UF,139629162.257907,5817881.760746125,5.817881760746125,1.3393966491510978
Contratações,Comércio e Serviços,MG,UF,235084948.423403,9795206.184308458,9.795206184308459,2.2550589510991204
Contratações,Comércio e Serviços,MS,UF,446136061.975159,18589002.58229829,18.589002582298292,4.2795726681455175
Contratações,Comércio e Serviços,MT,UF,517743145.557923,21572631.06491346,21.57263106491346,4.966465622706702
Contratações,Comércio e Serviços,PA,UF,500670371.77961,20861265.490817085,20.861265490817082,4.80269456213019
Contratações,Comércio e Serviços,PB,UF,9330184.819089,388757.700795375,0.388757700795375,0.08950005916074721
Contratações,Comércio e Serviços,PE,UF,46191809.642359,1924658.7350982917,1.9246587350982918,0.44309622755541134
Contratações,Comércio e Serviços,PI,UF,35669196.27802,1486216.5115841667,1.4862165115841666,0.3421577641814388
Contratações,Comércio e Serviços,PR,UF,79380018.223683,3307500.759320125,3.307500759320125,0.7614550477784111
Contratações,Comércio e Serviços,RJ,UF,304387396.906997,12682808.204458209,12.682808204458208,2.919844628932233
Contratações,Comércio e Serviços,RN,UF,350583.572639,14607.648859958334,0.014607648859958333,0.0033629827383248228
Contratações,Comércio e Serviços,RO,UF,201832702.122335,8409695.921763958,8.409695921763959,1.9360858472561562
Contratações,Comércio e Serviços,RR,UF,66283907.125018,2761829.4635424167,2.7618294635424165,0.6358302353193713
Contratações,Comércio e Serviços,RS,UF,462131377.930659,19255474.080444124,19.255474080444124,4.433008184383434
Contratações,Comércio e Serviços,SC,UF,100664984.265217,4194374.344384042,4.194374344384042,0.9656316805986164
Contratações,Comércio e Serviços,SE,UF,13380519.981695,557521.6659039584,0.5575216659039584,0.12835301263412618
Contratações,Comércio e Serviços,SP,UF,1056683827.425081,44028492.80937838,44.02849280937838,10.136269206078138
Contratações,Comércio e Serviços,TO,UF,121772494.443822,5073853.93515925,5.07385393515925,1.1681060630841795
Contratações,Comércio e Serviços,Sem identificação territorial,Residual,3111892374.542691,129662182.27261212,129.6621822726121,29.850914748615146
Contratações,Indústria,AC,UF,7243011.29306,301792.1372108333,0.3017921372108333,0.04763351393476516
Contratações,Indústria,AL,UF,167436935.231417,6976538.967975709,6.976538967975708,1.1011455408307902
Contratações,Indústria,AM,UF,0.0,0.0,0.0,0.0
Contratações,Indústria,AP,UF,0.0,0.0,0.0,0.0
Contratações,Indústria,BA,UF,335084012.885151,13961833.870214624,13.961833870214624,2.2036730789547936
Contratações,Indústria,CE,UF,17144131.181309,714338.7992212083,0.7143387992212084,0.11274802405828023
Contratações,Indústria,DF,UF,0.0,0.0,0.0,0.0
Contratações,Indústria,ES,UF,34075306.97037,1419804.45709875,1.41980445709875,0.22409555138478704
Contratações,Indústria,GO,UF,802105960.571487,33421081.690478627,33.42108169047862,5.275033256768336
Contratações,Indústria,MA,UF,169640822.600137,7068367.6083390415,7.068367608339042,1.1156393605200075
Contratações,Indústria,MG,UF,1548640210.701952,64526675.44591466,64.52667544591466,10.184600309416917
Contratações,Indústria,MS,UF,153245390.983013,6385224.624292208,6.385224624292208,1.0078151436574623
Contratações,Indústria,MT,UF,1824336895.833,76014037.326375,76.014037326375,11.99771385592503
Contratações,Indústria,PA,UF,205086583.480776,8545274.311699,8.545274311699,1.3487476736955017
Contratações,Indústria,PB,UF,19952422.371962,831350.9321650834,0.8313509321650834,0.13121669297931593
Contratações,Indústria,PE,UF,185894886.270185,7745620.261257708,7.7456202612577085,1.2225338740030445
Contratações,Indústria,PI,UF,165736660.451552,6905694.185481333,6.905694185481333,1.0899637189140923
Contratações,Indústria,PR,UF,848358932.067153,35348288.83613137,35.348288836131374,5.579214966987968
Contratações,Indústria,RJ,UF,291026098.833334,12126087.451388916,12.126087451388917,1.9139271186061264
Contratações,Indústria,RN,UF,0.0,0.0,0.0,0.0
Contratações,Indústria,RO,UF,45339790.349576,1889157.9312323334,1.8891579312323334,0.2981761933030813
Contratações,Indústria,RR,UF,0.0,0.0,0.0,0.0
Contratações,Indústria,RS,UF,513762398.715268,21406766.613136165,21.406766613136167,3.3787477870993525
Contratações,Indústria,SC,UF,451791438.524244,18824643.2718435,18.8246432718435,2.9711970493781066
Contratações,Indústria,SE,UF,14759902.788404,614995.9495168333,0.6149959495168333,0.09706819535417188
Contratações,Indústria,SP,UF,5465410351.428733,227725431.30953056,227.72543130953053,35.943158114834894
Contratações,Indústria,TO,UF,2274693.290506,94778.88710441667,0.09477888710441666,0.01495947336910176
Contratações,Indústria,Sem identificação territorial,Residual,1937357497.691585,80723229.0704827,80.7232290704827,12.740991506024072
Contratações,Infraestrutura,AC,UF,166748680.690593,6947861.695441375,6.947861695441375,0.27884100689969615
Contratações,Infraestrutura,AL,UF,287364087.242362,11973503.635098416,11.973503635098417,0.4805368840198132
Contratações,Infraestrutura,AM,UF,1586961635.058198,66123401.46075825,66.12340146075825,2.653754011115123
Contratações,Infraestrutura,AP,UF,0.0,0.0,0.0,0.0
Contratações,Infraestrutura,BA,UF,2293910527.714559,95579605.32143995,95.57960532143996,3.8359303272246255
Contratações,Infraestrutura,CE,UF,1450225618.023633,60426067.41765138,60.426067417651375,2.4251008756812125
Contratações,Infraestrutura,DF,UF,47524385.913281,1980182.7463867082,1.9801827463867083,0.07947137911656411
Contratações,Infraestrutura,ES,UF,1169454404.152925,48727266.83970521,48.72726683970521,1.9555887472498727
Contratações,Infraestrutura,GO,UF,776045050.292064,32335210.428836,32.335210428836,1.2977205116512334
Contratações,Infraestrutura,MA,UF,71063515.700663,2960979.820860958,2.9609798208609583,0.11883405727553148
Contratações,Infraestrutura,MG,UF,4401179167.043025,183382465.2934594,183.38246529345938,7.359753764777321
Contratações,Infraestrutura,MS,UF,1310219424.179065,54592476.00746104,54.592476007461045,2.1909792748257777
Contratações,Infraestrutura,MT,UF,1165769342.811771,48573722.617157124,48.573722617157124,1.9494265023037725
Contratações,Infraestrutura,PA,UF,535608994.214052,22317041.4255855,22.3170414255855,0.895657768521135
Contratações,Infraestrutura,PB,UF,0.0,0.0,0.0,0.0
Contratações,Infraestrutura,PE,UF,644469639.373851,26852901.640577126,26.852901640577127,1.0776970613202974
Contratações,Infraestrutura,PI,UF,0.0,0.0,0.0,0.0
Contratações,Infraestrutura,PR,UF,3920219163.143898,163342465.13099575,163.34246513099575,6.555481303908128
Contratações,Infraestrutura,RJ,UF,18587216595.71428,774467358.1547616,774.4673581547615,31.081974199416262
Contratações,Infraestrutura,RN,UF,1245507584.055042,51896149.33562675,51.89614933562675,2.0827666365980937
Contratações,Infraestrutura,RO,UF,3806037.821532,158584.9092305,0.1585849092305,0.00636454461923776
Contratações,Infraestrutura,RR,UF,0.0,0.0,0.0,0.0
Contratações,Infraestrutura,RS,UF,2218948947.79774,92456206.15823917,92.45620615823917,3.7105778366608004
Contratações,Infraestrutura,SC,UF,730978554.785735,30457439.782738958,30.45743978273896,1.222359273814859
Contratações,Infraestrutura,SE,UF,924376.155559,38515.673148291666,0.038515673148291664,0.0015457632222494863
Contratações,Infraestrutura,SP,UF,14438154634.391094,601589776.4329623,601.5897764329623,24.14381666681605
Contratações,Infraestrutura,TO,UF,1870399.406137,77933.30858904167,0.07793330858904167,0.0031277252182856843
Contratações,Infraestrutura,Sem identificação territorial,Residual,2746459903.600426,114435829.31668441,114.43582931668442,4.592693877744058
