universo,painel,posicao,bloco_tematico,valor_real_jun2026,valor_real_bilhoes_jun2026,valor_total_verde_real_jun2026,participacao_total_verde_estrito_pct
Desembolsos,A. Desembolsos realizados,1,Saneamento,27774142684.958202,27.774142684958203,54328516648.51554,51.122586071410986
Desembolsos,A. Desembolsos realizados,2,Clima e descarbonização,10591006178.36138,10.59100617836138,54328516648.51554,19.494377597093415
Desembolsos,A. Desembolsos realizados,3,Meio ambiente,7274207398.188956,7.274207398188956,54328516648.51554,13.38929874572181
Desembolsos,A. Desembolsos realizados,4,Florestas e bioeconomia,3770127732.767003,3.770127732767003,54328516648.51554,6.939500588904846
Desembolsos,A. Desembolsos realizados,5,Energia e eficiência,3094741869.914657,3.094741869914657,54328516648.51554,5.696348917340111
Desembolsos,A. Desembolsos realizados,6,Biocombustíveis,1824290784.32534,1.82429078432534,54328516648.51554,3.3578880795288315
Contratações,B. Valor contratado,1,Saneamento,45745360264.14312,45.74536026414312,90594589325.6127,50.494583180598504
Contratações,B. Valor contratado,2,Clima e descarbonização,19999511848.493736,19.999511848493736,90594589325.6127,22.075834768246494
Contratações,B. Valor contratado,3,Meio ambiente,11127979818.525696,11.127979818525697,90594589325.6127,12.283271993794024
Contratações,B. Valor contratado,4,Florestas e bioeconomia,8011457143.483882,8.011457143483883,90594589325.6127,8.843196048595477
Contratações,B. Valor contratado,5,Energia e eficiência,3937733591.151132,3.937733591151132,90594589325.6127,4.346543894578773
Contratações,B. Valor contratado,6,Biocombustíveis,1772546659.81514,1.77254665981514,90594589325.6127,1.9565701141867304
