universo,bloco_tematico,territorio,tipo_territorio,valor_real_jun2026,valor_total_bloco_real_jun2026,participacao_total_bloco_pct,classe_mapa
Desembolsos,Biocombustíveis,AC,UF,0.0,1824290784.32534,0.0,0%
Desembolsos,Biocombustíveis,AL,UF,206495295.483295,1824290784.32534,11.319209484449662,>10–20%
Desembolsos,Biocombustíveis,AM,UF,0.0,1824290784.32534,0.0,0%
Desembolsos,Biocombustíveis,AP,UF,0.0,1824290784.32534,0.0,0%
Desembolsos,Biocombustíveis,BA,UF,0.0,1824290784.32534,0.0,0%
Desembolsos,Biocombustíveis,CE,UF,0.0,1824290784.32534,0.0,0%
Desembolsos,Biocombustíveis,DF,UF,0.0,1824290784.32534,0.0,0%
Desembolsos,Biocombustíveis,ES,UF,0.0,1824290784.32534,0.0,0%
Desembolsos,Biocombustíveis,GO,UF,0.0,1824290784.32534,0.0,0%
Desembolsos,Biocombustíveis,MA,UF,0.0,1824290784.32534,0.0,0%
Desembolsos,Biocombustíveis,MG,UF,257491297.20203,1824290784.32534,14.11459726785034,>10–20%
Desembolsos,Biocombustíveis,MS,UF,69202513.45726,1824290784.32534,3.7933927009806445,>1–5%
Desembolsos,Biocombustíveis,MT,UF,175663661.643482,1824290784.32534,9.629148113492555,>5–10%
Desembolsos,Biocombustíveis,PA,UF,0.0,1824290784.32534,0.0,0%
Desembolsos,Biocombustíveis,PB,UF,0.0,1824290784.32534,0.0,0%
Desembolsos,Biocombustíveis,PE,UF,0.0,1824290784.32534,0.0,0%
Desembolsos,Biocombustíveis,PI,UF,0.0,1824290784.32534,0.0,0%
Desembolsos,Biocombustíveis,PR,UF,0.0,1824290784.32534,0.0,0%
Desembolsos,Biocombustíveis,RJ,UF,0.0,1824290784.32534,0.0,0%
Desembolsos,Biocombustíveis,RN,UF,0.0,1824290784.32534,0.0,0%
Desembolsos,Biocombustíveis,RO,UF,0.0,1824290784.32534,0.0,0%
Desembolsos,Biocombustíveis,RR,UF,0.0,1824290784.32534,0.0,0%
Desembolsos,Biocombustíveis,RS,UF,0.0,1824290784.32534,0.0,0%
Desembolsos,Biocombustíveis,SC,UF,0.0,1824290784.32534,0.0,0%
Desembolsos,Biocombustíveis,SE,UF,0.0,1824290784.32534,0.0,0%
Desembolsos,Biocombustíveis,SP,UF,1115438016.539273,1824290784.32534,61.1436524332268,>20%
Desembolsos,Biocombustíveis,TO,UF,0.0,1824290784.32534,0.0,0%
